compressive_strength,cement,blast_furnace_slag,water,super_plasticisers,coarse_aggregate,fine_aggregate,age
53.1,380.0,0.0,228.0,0.0,932.0,670.0,180
41.54,427.5,47.5,228.0,0.0,932.0,594.0,90
35.08,427.5,47.5,228.0,0.0,932.0,594.0,7
15.05,349.0,0.0,192.0,0.0,1047.0,806.9,3
40.76,380.0,95.0,228.0,0.0,932.0,594.0,180
26.26,237.5,237.5,228.0,0.0,932.0,594.0,7
32.82,380.0,95.0,228.0,0.0,932.0,594.0,7
39.78,332.5,142.5,228.0,0.0,932.0,594.0,180
46.93,190.0,190.0,228.0,0.0,932.0,670.0,180
33.12,237.5,237.5,228.0,0.0,932.0,594.0,90
49.19,304.0,76.0,228.0,0.0,932.0,670.0,90
14.59,139.6,209.4,192.0,0.0,1047.0,806.9,7
14.64,198.6,132.4,192.0,0.0,978.4,825.5,7
41.93,475.0,0.0,228.0,0.0,932.0,594.0,365
9.13,198.6,132.4,192.0,0.0,978.4,825.5,3
50.95,304.0,76.0,228.0,0.0,932.0,670.0,180
33.02,332.5,142.5,228.0,0.0,932.0,594.0,28
54.38,304.0,76.0,228.0,0.0,932.0,670.0,270
51.73,266.0,114.0,228.0,0.0,932.0,670.0,270
9.87,310.0,0.0,192.0,0.0,971.0,850.6,3
50.66,190.0,190.0,228.0,0.0,932.0,670.0,270
48.7,266.0,114.0,228.0,0.0,932.0,670.0,180
55.06,342.0,38.0,228.0,0.0,932.0,670.0,270
44.7,139.6,209.4,192.0,0.0,1047.0,806.9,360
30.28,332.5,142.5,228.0,0.0,932.0,594.0,7
40.86,190.0,190.0,228.0,0.0,932.0,670.0,28
71.99,485.0,0.0,146.0,0.0,1120.0,800.0,28
34.4,374.0,189.2,170.1,10.1,926.1,756.7,3
28.8,313.3,262.2,175.5,8.6,1046.9,611.8,3
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3
36.3,425.0,106.3,151.4,18.6,936.0,803.7,3
29.0,375.0,93.8,126.6,23.4,852.1,992.6,3
37.8,475.0,118.8,181.1,8.9,852.1,781.5,3
40.2,469.0,117.2,137.8,32.2,852.1,840.5,3
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3
28.1,388.6,97.1,157.9,12.1,852.1,925.7,3
41.3,531.3,0.0,141.8,28.2,852.1,893.7,3
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3
25.2,318.8,212.5,155.7,14.3,852.1,880.4,3
41.1,401.8,94.7,147.4,11.4,946.8,852.1,3
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3
28.3,323.7,282.8,183.8,10.3,942.7,659.9,3
28.6,379.5,151.2,153.9,15.9,1134.3,605.0,3
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3
24.4,286.3,200.9,144.7,11.2,1004.6,803.7,3
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3
39.3,439.0,177.0,186.0,11.1,884.9,707.9,3
40.6,389.9,189.0,145.9,22.0,944.7,755.8,3
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3
24.1,337.9,189.0,174.9,9.5,944.7,755.8,3
46.2,374.0,189.2,170.1,10.1,926.1,756.7,7
42.8,313.3,262.2,175.5,8.6,1046.9,611.8,7
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7
46.8,425.0,106.3,151.4,18.6,936.0,803.7,7
45.7,375.0,93.8,126.6,23.4,852.1,992.6,7
55.6,475.0,118.8,181.1,8.9,852.1,781.5,7
54.9,469.0,117.2,137.8,32.2,852.1,840.5,7
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7
34.9,388.6,97.1,157.9,12.1,852.1,925.7,7
46.9,531.3,0.0,141.8,28.2,852.1,893.7,7
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7
33.4,318.8,212.5,155.7,14.3,852.1,880.4,7
54.1,401.8,94.7,147.4,11.4,946.8,852.1,7
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7
49.8,323.7,282.8,183.8,10.3,942.7,659.9,7
47.1,379.5,151.2,153.9,15.9,1134.3,605.0,7
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7
38.0,286.3,200.9,144.7,11.2,1004.6,803.7,7
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7
56.1,439.0,177.0,186.0,11.1,884.9,707.9,7
59.09,389.9,189.0,145.9,22.0,944.7,755.8,7
22.9,362.6,189.0,164.9,11.6,944.7,755.8,7
35.1,337.9,189.0,174.9,9.5,944.7,755.8,7
61.09,374.0,189.2,170.1,10.1,926.1,756.7,28
59.8,313.3,262.2,175.5,8.6,1046.9,611.8,28
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28
61.8,425.0,106.3,151.4,18.6,936.0,803.7,28
56.7,375.0,93.8,126.6,23.4,852.1,992.6,28
68.3,475.0,118.8,181.1,8.9,852.1,781.5,28
66.9,469.0,117.2,137.8,32.2,852.1,840.5,28
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28
50.7,388.6,97.1,157.9,12.1,852.1,925.7,28
56.4,531.3,0.0,141.8,28.2,852.1,893.7,28
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28
55.5,318.8,212.5,155.7,14.3,852.1,880.4,28
68.5,401.8,94.7,147.4,11.4,946.8,852.1,28
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28
74.7,323.7,282.8,183.8,10.3,942.7,659.9,28
52.2,379.5,151.2,153.9,15.9,1134.3,605.0,28
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28
67.7,286.3,200.9,144.7,11.2,1004.6,803.7,28
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28
66.0,439.0,177.0,186.0,11.1,884.9,707.9,28
74.5,389.9,189.0,145.9,22.0,944.7,755.8,28
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28
49.9,337.9,189.0,174.9,9.5,944.7,755.8,28
63.4,374.0,189.2,170.1,10.1,926.1,756.7,56
64.9,313.3,262.2,175.5,8.6,1046.9,611.8,56
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56
64.9,425.0,106.3,151.4,18.6,936.0,803.7,56
60.2,375.0,93.8,126.6,23.4,852.1,992.6,56
72.3,475.0,118.8,181.1,8.9,852.1,781.5,56
69.3,469.0,117.2,137.8,32.2,852.1,840.5,56
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56
55.2,388.6,97.1,157.9,12.1,852.1,925.7,56
58.8,531.3,0.0,141.8,28.2,852.1,893.7,56
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56
66.1,318.8,212.5,155.7,14.3,852.1,880.4,56
73.7,401.8,94.7,147.4,11.4,946.8,852.1,56
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56
80.2,323.7,282.8,183.8,10.3,942.7,659.9,56
54.9,379.5,151.2,153.9,15.9,1134.3,605.0,56
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56
72.99,286.3,200.9,144.7,11.2,1004.6,803.7,56
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56
71.7,439.0,177.0,186.0,11.1,884.9,707.9,56
79.4,389.9,189.0,145.9,22.0,944.7,755.8,56
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56
59.89,337.9,189.0,174.9,9.5,944.7,755.8,56
64.9,374.0,189.2,170.1,10.1,926.1,756.7,91
66.6,313.3,262.2,175.5,8.6,1046.9,611.8,91
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91
66.7,425.0,106.3,151.4,18.6,936.0,803.7,91
62.5,375.0,93.8,126.6,23.4,852.1,992.6,91
74.19,475.0,118.8,181.1,8.9,852.1,781.5,91
70.7,469.0,117.2,137.8,32.2,852.1,840.5,91
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91
57.6,388.6,97.1,157.9,12.1,852.1,925.7,91
59.2,531.3,0.0,141.8,28.2,852.1,893.7,91
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91
68.1,318.8,212.5,155.7,14.3,852.1,880.4,91
75.5,401.8,94.7,147.4,11.4,946.8,852.1,91
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91
56.5,379.5,151.2,153.9,15.9,1134.3,605.0,91
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91
76.8,286.3,200.9,144.7,11.2,1004.6,803.7,91
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91
73.3,439.0,177.0,186.0,11.1,884.9,707.9,91
82.6,389.9,189.0,145.9,22.0,944.7,755.8,91
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91
67.8,337.9,189.0,174.9,9.5,944.7,755.8,91
11.58,222.4,0.0,189.3,4.5,967.1,870.3,3
24.45,222.4,0.0,189.3,4.5,967.1,870.3,14
24.89,222.4,0.0,189.3,4.5,967.1,870.3,28
29.45,222.4,0.0,189.3,4.5,967.1,870.3,56
40.71,222.4,0.0,189.3,4.5,967.1,870.3,100
10.38,233.8,0.0,197.9,4.6,947.0,852.2,3
22.14,233.8,0.0,197.9,4.6,947.0,852.2,14
22.84,233.8,0.0,197.9,4.6,947.0,852.2,28
27.66,233.8,0.0,197.9,4.6,947.0,852.2,56
34.56,233.8,0.0,197.9,4.6,947.0,852.2,100
12.45,194.7,0.0,165.6,7.5,1006.4,905.9,3
24.99,194.7,0.0,165.6,7.5,1006.4,905.9,14
25.72,194.7,0.0,165.6,7.5,1006.4,905.9,28
33.96,194.7,0.0,165.6,7.5,1006.4,905.9,56
37.34,194.7,0.0,165.6,7.5,1006.4,905.9,100
15.04,190.7,0.0,162.1,7.8,1090.0,804.0,3
21.06,190.7,0.0,162.1,7.8,1090.0,804.0,14
26.4,190.7,0.0,162.1,7.8,1090.0,804.0,28
35.34,190.7,0.0,162.1,7.8,1090.0,804.0,56
40.57,190.7,0.0,162.1,7.8,1090.0,804.0,100
12.47,212.1,0.0,180.3,5.7,1057.6,779.3,3
20.92,212.1,0.0,180.3,5.7,1057.6,779.3,14
24.9,212.1,0.0,180.3,5.7,1057.6,779.3,28
34.2,212.1,0.0,180.3,5.7,1057.6,779.3,56
39.61,212.1,0.0,180.3,5.7,1057.6,779.3,100
10.03,230.0,0.0,195.5,4.6,1029.4,758.6,3
20.08,230.0,0.0,195.5,4.6,1029.4,758.6,14
24.48,230.0,0.0,195.5,4.6,1029.4,758.6,28
31.54,230.0,0.0,195.5,4.6,1029.4,758.6,56
35.34,230.0,0.0,195.5,4.6,1029.4,758.6,100
9.45,190.3,0.0,161.9,9.9,1088.1,802.6,3
22.72,190.3,0.0,161.9,9.9,1088.1,802.6,14
28.47,190.3,0.0,161.9,9.9,1088.1,802.6,28
38.56,190.3,0.0,161.9,9.9,1088.1,802.6,56
40.39,190.3,0.0,161.9,9.9,1088.1,802.6,100
10.76,166.1,0.0,176.5,4.5,1058.6,780.1,3
25.48,166.1,0.0,176.5,4.5,1058.6,780.1,14
21.54,166.1,0.0,176.5,4.5,1058.6,780.1,28
28.63,166.1,0.0,176.5,4.5,1058.6,780.1,56
33.54,166.1,0.0,176.5,4.5,1058.6,780.1,100
7.75,168.0,42.1,121.8,5.7,1058.7,780.1,3
17.82,168.0,42.1,121.8,5.7,1058.7,780.1,14
24.24,168.0,42.1,121.8,5.7,1058.7,780.1,28
32.85,168.0,42.1,121.8,5.7,1058.7,780.1,56
39.23,168.0,42.1,121.8,5.7,1058.7,780.1,100
18.0,213.7,98.1,181.7,6.9,1065.8,785.4,3
30.39,213.7,98.1,181.7,6.9,1065.8,785.4,14
45.71,213.7,98.1,181.7,6.9,1065.8,785.4,28
50.77,213.7,98.1,181.7,6.9,1065.8,785.4,56
53.9,213.7,98.1,181.7,6.9,1065.8,785.4,100
13.18,213.8,98.1,181.7,6.7,1066.0,785.5,3
17.84,213.8,98.1,181.7,6.7,1066.0,785.5,14
40.23,213.8,98.1,181.7,6.7,1066.0,785.5,28
47.13,213.8,98.1,181.7,6.7,1066.0,785.5,56
49.97,213.8,98.1,181.7,6.7,1066.0,785.5,100
13.36,229.7,0.0,195.2,6.1,1028.1,757.6,3
22.32,229.7,0.0,195.2,6.1,1028.1,757.6,14
24.54,229.7,0.0,195.2,6.1,1028.1,757.6,28
31.35,229.7,0.0,195.2,6.1,1028.1,757.6,56
40.86,229.7,0.0,195.2,6.1,1028.1,757.6,100
19.93,238.1,0.0,186.7,7.0,949.9,847.0,3
25.69,238.1,0.0,186.7,7.0,949.9,847.0,14
30.23,238.1,0.0,186.7,7.0,949.9,847.0,28
39.59,238.1,0.0,186.7,7.0,949.9,847.0,56
44.3,238.1,0.0,186.7,7.0,949.9,847.0,100
13.82,250.0,0.0,187.4,5.5,956.9,861.2,3
24.92,250.0,0.0,187.4,5.5,956.9,861.2,14
29.22,250.0,0.0,187.4,5.5,956.9,861.2,28
38.33,250.0,0.0,187.4,5.5,956.9,861.2,56
42.35,250.0,0.0,187.4,5.5,956.9,861.2,100
13.54,212.5,0.0,159.3,8.7,1007.8,903.6,3
26.31,212.5,0.0,159.3,8.7,1007.8,903.6,14
31.64,212.5,0.0,159.3,8.7,1007.8,903.6,28
42.55,212.5,0.0,159.3,8.7,1007.8,903.6,56
42.92,212.5,0.0,159.3,8.7,1007.8,903.6,100
13.33,212.6,0.0,159.4,10.4,1003.8,903.8,3
25.37,212.6,0.0,159.4,10.4,1003.8,903.8,14
37.4,212.6,0.0,159.4,10.4,1003.8,903.8,28
44.4,212.6,0.0,159.4,10.4,1003.8,903.8,56
47.74,212.6,0.0,159.4,10.4,1003.8,903.8,100
19.52,212.0,0.0,159.0,7.8,1085.4,799.5,3
31.35,212.0,0.0,159.0,7.8,1085.4,799.5,14
38.5,212.0,0.0,159.0,7.8,1085.4,799.5,28
45.08,212.0,0.0,159.0,7.8,1085.4,799.5,56
47.82,212.0,0.0,159.0,7.8,1085.4,799.5,100
15.44,231.8,0.0,174.0,6.7,1056.4,778.5,3
26.77,231.8,0.0,174.0,6.7,1056.4,778.5,14
33.73,231.8,0.0,174.0,6.7,1056.4,778.5,28
42.7,231.8,0.0,174.0,6.7,1056.4,778.5,56
45.84,231.8,0.0,174.0,6.7,1056.4,778.5,100
17.22,251.4,0.0,188.5,5.8,1028.4,757.7,3
29.93,251.4,0.0,188.5,5.8,1028.4,757.7,14
29.65,251.4,0.0,188.5,5.8,1028.4,757.7,28
36.97,251.4,0.0,188.5,5.8,1028.4,757.7,56
43.58,251.4,0.0,188.5,5.8,1028.4,757.7,100
13.12,251.4,0.0,188.5,6.4,1028.4,757.7,3
24.43,251.4,0.0,188.5,6.4,1028.4,757.7,14
32.66,251.4,0.0,188.5,6.4,1028.4,757.7,28
36.64,251.4,0.0,188.5,6.4,1028.4,757.7,56
44.21,251.4,0.0,188.5,6.4,1028.4,757.7,100
13.62,181.4,0.0,169.6,7.6,1055.6,777.8,3
21.6,181.4,0.0,169.6,7.6,1055.6,777.8,14
27.77,181.4,0.0,169.6,7.6,1055.6,777.8,28
35.57,181.4,0.0,169.6,7.6,1055.6,777.8,56
45.37,181.4,0.0,169.6,7.6,1055.6,777.8,100
7.32,182.0,45.2,170.2,8.2,1059.4,780.7,3
21.5,182.0,45.2,170.2,8.2,1059.4,780.7,14
31.27,182.0,45.2,170.2,8.2,1059.4,780.7,28
43.5,182.0,45.2,170.2,8.2,1059.4,780.7,56
48.67,182.0,45.2,170.2,8.2,1059.4,780.7,100
7.4,168.9,42.2,158.3,10.8,1080.8,796.2,3
23.51,168.9,42.2,158.3,10.8,1080.8,796.2,14
31.12,168.9,42.2,158.3,10.8,1080.8,796.2,28
39.15,168.9,42.2,158.3,10.8,1080.8,796.2,56
48.15,168.9,42.2,158.3,10.8,1080.8,796.2,100
22.5,290.4,0.0,168.1,9.4,961.2,865.0,3
34.67,290.4,0.0,168.1,9.4,961.2,865.0,14
34.74,290.4,0.0,168.1,9.4,961.2,865.0,28
45.08,290.4,0.0,168.1,9.4,961.2,865.0,56
48.97,290.4,0.0,168.1,9.4,961.2,865.0,100
23.14,277.1,0.0,160.6,11.8,973.9,875.6,3
41.89,277.1,0.0,160.6,11.8,973.9,875.6,14
48.28,277.1,0.0,160.6,11.8,973.9,875.6,28
51.04,277.1,0.0,160.6,11.8,973.9,875.6,56
55.64,277.1,0.0,160.6,11.8,973.9,875.6,100
22.95,295.7,0.0,171.5,8.9,955.1,859.2,3
35.23,295.7,0.0,171.5,8.9,955.1,859.2,14
39.94,295.7,0.0,171.5,8.9,955.1,859.2,28
48.72,295.7,0.0,171.5,8.9,955.1,859.2,56
52.04,295.7,0.0,171.5,8.9,955.1,859.2,100
21.02,251.8,0.0,146.1,12.4,1006.0,899.8,3
33.36,251.8,0.0,146.1,12.4,1006.0,899.8,14
33.94,251.8,0.0,146.1,12.4,1006.0,899.8,28
44.14,251.8,0.0,146.1,12.4,1006.0,899.8,56
45.37,251.8,0.0,146.1,12.4,1006.0,899.8,100
15.36,249.1,0.0,158.1,12.8,987.8,889.0,3
28.68,249.1,0.0,158.1,12.8,987.8,889.0,14
30.85,249.1,0.0,158.1,12.8,987.8,889.0,28
42.03,249.1,0.0,158.1,12.8,987.8,889.0,56
51.06,249.1,0.0,158.1,12.8,987.8,889.0,100
21.78,252.3,0.0,146.3,14.2,987.8,889.0,3
42.29,252.3,0.0,146.3,14.2,987.8,889.0,14
50.6,252.3,0.0,146.3,14.2,987.8,889.0,28
55.83,252.3,0.0,146.3,14.2,987.8,889.0,56
60.95,252.3,0.0,146.3,14.2,987.8,889.0,100
23.52,246.8,0.0,143.3,12.0,1086.8,800.9,3
42.22,246.8,0.0,143.3,12.0,1086.8,800.9,14
52.5,246.8,0.0,143.3,12.0,1086.8,800.9,28
60.32,246.8,0.0,143.3,12.0,1086.8,800.9,56
66.42,246.8,0.0,143.3,12.0,1086.8,800.9,100
23.8,275.1,0.0,159.5,9.9,1053.6,777.5,3
38.77,275.1,0.0,159.5,9.9,1053.6,777.5,14
51.33,275.1,0.0,159.5,9.9,1053.6,777.5,28
56.85,275.1,0.0,159.5,9.9,1053.6,777.5,56
58.61,275.1,0.0,159.5,9.9,1053.6,777.5,100
21.91,297.2,0.0,174.8,9.5,1022.8,753.5,3
36.99,297.2,0.0,174.8,9.5,1022.8,753.5,14
47.4,297.2,0.0,174.8,9.5,1022.8,753.5,28
51.96,297.2,0.0,174.8,9.5,1022.8,753.5,56
56.74,297.2,0.0,174.8,9.5,1022.8,753.5,100
17.57,213.7,0.0,154.8,10.2,1053.5,776.4,3
33.73,213.7,0.0,154.8,10.2,1053.5,776.4,14
40.15,213.7,0.0,154.8,10.2,1053.5,776.4,28
46.64,213.7,0.0,154.8,10.2,1053.5,776.4,56
50.08,213.7,0.0,154.8,10.2,1053.5,776.4,100
17.37,213.5,0.0,154.6,11.7,1052.3,775.5,3
33.7,213.5,0.0,154.6,11.7,1052.3,775.5,14
45.94,213.5,0.0,154.6,11.7,1052.3,775.5,28
51.43,213.5,0.0,154.6,11.7,1052.3,775.5,56
59.3,213.5,0.0,154.6,11.7,1052.3,775.5,100
30.45,277.2,97.8,160.7,11.2,1061.7,782.5,3
47.71,277.2,97.8,160.7,11.2,1061.7,782.5,14
63.14,277.2,97.8,160.7,11.2,1061.7,782.5,28
66.82,277.2,97.8,160.7,11.2,1061.7,782.5,56
66.95,277.2,97.8,160.7,11.2,1061.7,782.5,100
27.42,218.2,54.6,140.8,11.9,1075.7,792.7,3
35.96,218.2,54.6,140.8,11.9,1075.7,792.7,14
55.51,218.2,54.6,140.8,11.9,1075.7,792.7,28
61.99,218.2,54.6,140.8,11.9,1075.7,792.7,56
63.53,218.2,54.6,140.8,11.9,1075.7,792.7,100
18.02,214.9,53.8,155.6,9.6,1014.3,780.6,3
38.6,214.9,53.8,155.6,9.6,1014.3,780.6,14
52.2,214.9,53.8,155.6,9.6,1014.3,780.6,28
53.96,214.9,53.8,155.6,9.6,1014.3,780.6,56
56.63,214.9,53.8,155.6,9.6,1014.3,780.6,100
15.34,218.9,0.0,158.5,11.3,1078.7,794.9,3
26.05,218.9,0.0,158.5,11.3,1078.7,794.9,14
30.22,218.9,0.0,158.5,11.3,1078.7,794.9,28
37.27,218.9,0.0,158.5,11.3,1078.7,794.9,56
46.23,218.9,0.0,158.5,11.3,1078.7,794.9,100
16.28,376.0,0.0,214.6,0.0,1003.5,762.4,3
25.62,376.0,0.0,214.6,0.0,1003.5,762.4,14
31.97,376.0,0.0,214.6,0.0,1003.5,762.4,28
36.3,376.0,0.0,214.6,0.0,1003.5,762.4,56
43.06,376.0,0.0,214.6,0.0,1003.5,762.4,100
67.57,500.0,0.0,140.0,4.0,966.0,853.0,28
57.23,475.0,0.0,142.0,1.9,1098.0,641.0,28
81.75,315.0,137.0,145.0,5.9,1130.0,745.0,28
64.02,505.0,0.0,195.0,0.0,1030.0,630.0,28
78.8,451.0,0.0,165.0,11.3,1030.0,745.0,28
41.37,516.0,0.0,162.0,8.2,801.0,802.0,28
60.28,520.0,0.0,170.0,5.2,855.0,855.0,28
56.83,528.0,0.0,185.0,6.9,920.0,720.0,28
51.02,520.0,0.0,175.0,5.2,870.0,805.0,28
55.55,385.0,0.0,158.0,20.0,903.0,768.0,28
44.13,500.1,0.0,200.0,3.0,1124.4,613.2,28
39.38,450.1,50.0,200.0,3.0,1124.4,613.2,28
55.65,397.0,17.2,167.0,20.8,967.0,633.0,28
47.28,333.0,17.5,167.0,17.9,996.0,652.0,28
44.33,334.0,17.6,189.0,15.3,967.0,633.0,28
52.3,405.0,0.0,175.0,0.0,1120.0,695.0,28
49.25,200.0,200.0,190.0,0.0,1145.0,660.0,28
41.37,516.0,0.0,162.0,8.3,801.0,802.0,28
29.16,145.0,116.0,184.0,5.7,833.0,880.0,28
39.4,160.0,128.0,182.0,6.4,824.0,879.0,28
39.3,234.0,156.0,189.0,5.9,981.0,760.0,28
67.87,250.0,180.0,159.0,9.5,860.0,800.0,28
58.52,475.0,0.0,162.0,9.5,1044.0,662.0,28
53.58,285.0,190.0,163.0,7.6,1031.0,685.0,28
59.0,356.0,119.0,160.0,9.0,1061.0,657.0,28
76.24,275.0,180.0,162.0,10.4,830.0,765.0,28
69.84,500.0,0.0,151.0,9.0,1033.0,655.0,28
14.4,165.0,0.0,163.8,0.0,1005.6,900.9,3
19.42,165.0,128.5,175.1,8.1,1005.8,746.6,3
20.73,178.0,129.8,179.9,3.6,1007.3,746.8,3
14.94,167.4,129.9,175.5,7.8,1006.3,746.6,3
21.29,172.4,13.6,156.8,4.1,1006.3,856.4,3
23.08,173.5,50.1,164.8,6.5,1006.2,793.5,3
15.52,167.0,75.4,164.0,7.9,1007.3,770.1,3
15.82,173.8,93.4,172.3,9.7,1007.2,746.6,3
12.55,190.3,0.0,166.6,9.9,1079.0,798.9,3
8.49,250.0,0.0,191.8,5.3,948.9,857.2,3
15.61,213.5,0.0,159.2,11.7,1043.6,771.9,3
12.18,194.7,0.0,170.2,7.5,998.0,901.8,3
11.98,251.4,0.0,192.9,5.8,1043.6,754.3,3
16.88,165.0,0.0,163.8,0.0,1005.6,900.9,14
33.09,165.0,128.5,175.1,8.1,1005.8,746.6,14
34.24,178.0,129.8,179.9,3.6,1007.3,746.8,14
31.81,167.4,129.9,175.5,7.8,1006.3,746.6,14
29.75,172.4,13.6,156.8,4.1,1006.3,856.4,14
33.01,173.5,50.1,164.8,6.5,1006.2,793.5,14
32.9,167.0,75.4,164.0,7.9,1007.3,770.1,14
29.55,173.8,93.4,172.3,9.7,1007.2,746.6,14
19.42,190.3,0.0,166.6,9.9,1079.0,798.9,14
24.66,250.0,0.0,191.8,5.3,948.9,857.2,14
29.59,213.5,0.0,159.2,11.7,1043.6,771.9,14
24.28,194.7,0.0,170.2,7.5,998.0,901.8,14
20.73,251.4,0.0,192.9,5.8,1043.6,754.3,14
26.2,165.0,0.0,163.8,0.0,1005.6,900.9,28
46.39,165.0,128.5,175.1,8.1,1005.8,746.6,28
39.16,178.0,129.8,179.9,3.6,1007.3,746.8,28
41.2,167.4,129.9,175.5,7.8,1006.3,746.6,28
33.69,172.4,13.6,156.8,4.1,1006.3,856.4,28
38.2,173.5,50.1,164.8,6.5,1006.2,793.5,28
41.41,167.0,75.4,164.0,7.9,1007.3,770.1,28
37.81,173.8,93.4,172.3,9.7,1007.2,746.6,28
24.85,190.3,0.0,166.6,9.9,1079.0,798.9,28
27.22,250.0,0.0,191.8,5.3,948.9,857.2,28
44.64,213.5,0.0,159.2,11.7,1043.6,771.9,28
37.27,194.7,0.0,170.2,7.5,998.0,901.8,28
33.27,251.4,0.0,192.9,5.8,1043.6,754.3,28
36.56,165.0,0.0,163.8,0.0,1005.6,900.9,56
53.72,165.0,128.5,175.1,8.1,1005.8,746.6,56
48.59,178.0,129.8,179.9,3.6,1007.3,746.8,56
51.72,167.4,129.9,175.5,7.8,1006.3,746.6,56
35.85,172.4,13.6,156.8,4.1,1006.3,856.4,56
53.77,173.5,50.1,164.8,6.5,1006.2,793.5,56
53.46,167.0,75.4,164.0,7.9,1007.3,770.1,56
48.99,173.8,93.4,172.3,9.7,1007.2,746.6,56
31.72,190.3,0.0,166.6,9.9,1079.0,798.9,56
39.64,250.0,0.0,191.8,5.3,948.9,857.2,56
