compressive_strength,cement,blast_furnace_slag,water,super_plasticisers,coarse_aggregate,fine_aggregate,age,combined_aggregate
28.3,323.7,282.8,183.8,10.3,942.7,659.9,3,1602.6
28.6,379.5,151.2,153.9,15.9,1134.3,605.0,3,1739.3
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3,1700.5
24.4,286.3,200.9,144.7,11.2,1004.6,803.7,3,1808.3000000000002
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3,1700.5
39.3,439.0,177.0,186.0,11.1,884.9,707.9,3,1592.8
40.6,389.9,189.0,145.9,22.0,944.7,755.8,3,1700.5
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3,1700.5
24.1,337.9,189.0,174.9,9.5,944.7,755.8,3,1700.5
46.2,374.0,189.2,170.1,10.1,926.1,756.7,7,1682.8000000000002
42.8,313.3,262.2,175.5,8.6,1046.9,611.8,7,1658.7
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7,1739.2
46.8,425.0,106.3,151.4,18.6,936.0,803.7,7,1739.7
45.7,375.0,93.8,126.6,23.4,852.1,992.6,7,1844.7
55.6,475.0,118.8,181.1,8.9,852.1,781.5,7,1633.6
54.9,469.0,117.2,137.8,32.2,852.1,840.5,7,1692.6
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7,1739.2
34.9,388.6,97.1,157.9,12.1,852.1,925.7,7,1777.8000000000002
46.9,531.3,0.0,141.8,28.2,852.1,893.7,7,1745.8000000000002
49.2,425.0,106.3,153.5,16.5,852.1,887.1,7,1739.2
33.4,318.8,212.5,155.7,14.3,852.1,880.4,7,1732.5
54.1,401.8,94.7,147.4,11.4,946.8,852.1,7,1798.9
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7,1700.5
49.8,323.7,282.8,183.8,10.3,942.7,659.9,7,1602.6
47.1,379.5,151.2,153.9,15.9,1134.3,605.0,7,1739.3
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7,1700.5
38.0,286.3,200.9,144.7,11.2,1004.6,803.7,7,1808.3000000000002
55.9,362.6,189.0,164.9,11.6,944.7,755.8,7,1700.5
56.1,439.0,177.0,186.0,11.1,884.9,707.9,7,1592.8
59.09,389.9,189.0,145.9,22.0,944.7,755.8,7,1700.5
22.9,362.6,189.0,164.9,11.6,944.7,755.8,7,1700.5
35.1,337.9,189.0,174.9,9.5,944.7,755.8,7,1700.5
61.09,374.0,189.2,170.1,10.1,926.1,756.7,28,1682.8000000000002
59.8,313.3,262.2,175.5,8.6,1046.9,611.8,28,1658.7
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28,1739.2
61.8,425.0,106.3,151.4,18.6,936.0,803.7,28,1739.7
56.7,375.0,93.8,126.6,23.4,852.1,992.6,28,1844.7
68.3,475.0,118.8,181.1,8.9,852.1,781.5,28,1633.6
66.9,469.0,117.2,137.8,32.2,852.1,840.5,28,1692.6
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28,1739.2
50.7,388.6,97.1,157.9,12.1,852.1,925.7,28,1777.8000000000002
56.4,531.3,0.0,141.8,28.2,852.1,893.7,28,1745.8000000000002
60.29,425.0,106.3,153.5,16.5,852.1,887.1,28,1739.2
55.5,318.8,212.5,155.7,14.3,852.1,880.4,28,1732.5
68.5,401.8,94.7,147.4,11.4,946.8,852.1,28,1798.9
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28,1700.5
74.7,323.7,282.8,183.8,10.3,942.7,659.9,28,1602.6
52.2,379.5,151.2,153.9,15.9,1134.3,605.0,28,1739.3
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28,1700.5
67.7,286.3,200.9,144.7,11.2,1004.6,803.7,28,1808.3000000000002
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28,1700.5
66.0,439.0,177.0,186.0,11.1,884.9,707.9,28,1592.8
74.5,389.9,189.0,145.9,22.0,944.7,755.8,28,1700.5
71.3,362.6,189.0,164.9,11.6,944.7,755.8,28,1700.5
49.9,337.9,189.0,174.9,9.5,944.7,755.8,28,1700.5
63.4,374.0,189.2,170.1,10.1,926.1,756.7,56,1682.8000000000002
64.9,313.3,262.2,175.5,8.6,1046.9,611.8,56,1658.7
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56,1739.2
64.9,425.0,106.3,151.4,18.6,936.0,803.7,56,1739.7
60.2,375.0,93.8,126.6,23.4,852.1,992.6,56,1844.7
72.3,475.0,118.8,181.1,8.9,852.1,781.5,56,1633.6
69.3,469.0,117.2,137.8,32.2,852.1,840.5,56,1692.6
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56,1739.2
55.2,388.6,97.1,157.9,12.1,852.1,925.7,56,1777.8000000000002
58.8,531.3,0.0,141.8,28.2,852.1,893.7,56,1745.8000000000002
64.3,425.0,106.3,153.5,16.5,852.1,887.1,56,1739.2
66.1,318.8,212.5,155.7,14.3,852.1,880.4,56,1732.5
73.7,401.8,94.7,147.4,11.4,946.8,852.1,56,1798.9
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56,1700.5
80.2,323.7,282.8,183.8,10.3,942.7,659.9,56,1602.6
54.9,379.5,151.2,153.9,15.9,1134.3,605.0,56,1739.3
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56,1700.5
72.99,286.3,200.9,144.7,11.2,1004.6,803.7,56,1808.3000000000002
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56,1700.5
71.7,439.0,177.0,186.0,11.1,884.9,707.9,56,1592.8
79.4,389.9,189.0,145.9,22.0,944.7,755.8,56,1700.5
77.3,362.6,189.0,164.9,11.6,944.7,755.8,56,1700.5
59.89,337.9,189.0,174.9,9.5,944.7,755.8,56,1700.5
64.9,374.0,189.2,170.1,10.1,926.1,756.7,91,1682.8000000000002
66.6,313.3,262.2,175.5,8.6,1046.9,611.8,91,1658.7
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91,1739.2
66.7,425.0,106.3,151.4,18.6,936.0,803.7,91,1739.7
62.5,375.0,93.8,126.6,23.4,852.1,992.6,91,1844.7
74.19,475.0,118.8,181.1,8.9,852.1,781.5,91,1633.6
70.7,469.0,117.2,137.8,32.2,852.1,840.5,91,1692.6
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91,1739.2
57.6,388.6,97.1,157.9,12.1,852.1,925.7,91,1777.8000000000002
59.2,531.3,0.0,141.8,28.2,852.1,893.7,91,1745.8000000000002
65.2,425.0,106.3,153.5,16.5,852.1,887.1,91,1739.2
68.1,318.8,212.5,155.7,14.3,852.1,880.4,91,1732.5
75.5,401.8,94.7,147.4,11.4,946.8,852.1,91,1798.9
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91,1700.5
56.5,379.5,151.2,153.9,15.9,1134.3,605.0,91,1739.3
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91,1700.5
76.8,286.3,200.9,144.7,11.2,1004.6,803.7,91,1808.3000000000002
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91,1700.5
73.3,439.0,177.0,186.0,11.1,884.9,707.9,91,1592.8
82.6,389.9,189.0,145.9,22.0,944.7,755.8,91,1700.5
79.3,362.6,189.0,164.9,11.6,944.7,755.8,91,1700.5
67.8,337.9,189.0,174.9,9.5,944.7,755.8,91,1700.5
11.58,222.4,0.0,189.3,4.5,967.1,870.3,3,1837.4
24.45,222.4,0.0,189.3,4.5,967.1,870.3,14,1837.4
24.89,222.4,0.0,189.3,4.5,967.1,870.3,28,1837.4
29.45,222.4,0.0,189.3,4.5,967.1,870.3,56,1837.4
40.71,222.4,0.0,189.3,4.5,967.1,870.3,100,1837.4
10.38,233.8,0.0,197.9,4.6,947.0,852.2,3,1799.2
22.14,233.8,0.0,197.9,4.6,947.0,852.2,14,1799.2
22.84,233.8,0.0,197.9,4.6,947.0,852.2,28,1799.2
27.66,233.8,0.0,197.9,4.6,947.0,852.2,56,1799.2
34.56,233.8,0.0,197.9,4.6,947.0,852.2,100,1799.2
12.45,194.7,0.0,165.6,7.5,1006.4,905.9,3,1912.3
24.99,194.7,0.0,165.6,7.5,1006.4,905.9,14,1912.3
25.72,194.7,0.0,165.6,7.5,1006.4,905.9,28,1912.3
33.96,194.7,0.0,165.6,7.5,1006.4,905.9,56,1912.3
37.34,194.7,0.0,165.6,7.5,1006.4,905.9,100,1912.3
15.04,190.7,0.0,162.1,7.8,1090.0,804.0,3,1894.0
21.06,190.7,0.0,162.1,7.8,1090.0,804.0,14,1894.0
26.4,190.7,0.0,162.1,7.8,1090.0,804.0,28,1894.0
35.34,190.7,0.0,162.1,7.8,1090.0,804.0,56,1894.0
40.57,190.7,0.0,162.1,7.8,1090.0,804.0,100,1894.0
12.47,212.1,0.0,180.3,5.7,1057.6,779.3,3,1836.8999999999999
20.92,212.1,0.0,180.3,5.7,1057.6,779.3,14,1836.8999999999999
24.9,212.1,0.0,180.3,5.7,1057.6,779.3,28,1836.8999999999999
34.2,212.1,0.0,180.3,5.7,1057.6,779.3,56,1836.8999999999999
39.61,212.1,0.0,180.3,5.7,1057.6,779.3,100,1836.8999999999999
10.03,230.0,0.0,195.5,4.6,1029.4,758.6,3,1788.0
20.08,230.0,0.0,195.5,4.6,1029.4,758.6,14,1788.0
24.48,230.0,0.0,195.5,4.6,1029.4,758.6,28,1788.0
31.54,230.0,0.0,195.5,4.6,1029.4,758.6,56,1788.0
35.34,230.0,0.0,195.5,4.6,1029.4,758.6,100,1788.0
9.45,190.3,0.0,161.9,9.9,1088.1,802.6,3,1890.6999999999998
22.72,190.3,0.0,161.9,9.9,1088.1,802.6,14,1890.6999999999998
28.47,190.3,0.0,161.9,9.9,1088.1,802.6,28,1890.6999999999998
38.56,190.3,0.0,161.9,9.9,1088.1,802.6,56,1890.6999999999998
40.39,190.3,0.0,161.9,9.9,1088.1,802.6,100,1890.6999999999998
10.76,166.1,0.0,176.5,4.5,1058.6,780.1,3,1838.6999999999998
25.48,166.1,0.0,176.5,4.5,1058.6,780.1,14,1838.6999999999998
21.54,166.1,0.0,176.5,4.5,1058.6,780.1,28,1838.6999999999998
28.63,166.1,0.0,176.5,4.5,1058.6,780.1,56,1838.6999999999998
33.54,166.1,0.0,176.5,4.5,1058.6,780.1,100,1838.6999999999998
7.75,168.0,42.1,121.8,5.7,1058.7,780.1,3,1838.8000000000002
17.82,168.0,42.1,121.8,5.7,1058.7,780.1,14,1838.8000000000002
24.24,168.0,42.1,121.8,5.7,1058.7,780.1,28,1838.8000000000002
32.85,168.0,42.1,121.8,5.7,1058.7,780.1,56,1838.8000000000002
39.23,168.0,42.1,121.8,5.7,1058.7,780.1,100,1838.8000000000002
18.0,213.7,98.1,181.7,6.9,1065.8,785.4,3,1851.1999999999998
30.39,213.7,98.1,181.7,6.9,1065.8,785.4,14,1851.1999999999998
45.71,213.7,98.1,181.7,6.9,1065.8,785.4,28,1851.1999999999998
50.77,213.7,98.1,181.7,6.9,1065.8,785.4,56,1851.1999999999998
53.9,213.7,98.1,181.7,6.9,1065.8,785.4,100,1851.1999999999998
13.18,213.8,98.1,181.7,6.7,1066.0,785.5,3,1851.5
17.84,213.8,98.1,181.7,6.7,1066.0,785.5,14,1851.5
40.23,213.8,98.1,181.7,6.7,1066.0,785.5,28,1851.5
47.13,213.8,98.1,181.7,6.7,1066.0,785.5,56,1851.5
49.97,213.8,98.1,181.7,6.7,1066.0,785.5,100,1851.5
13.36,229.7,0.0,195.2,6.1,1028.1,757.6,3,1785.6999999999998
22.32,229.7,0.0,195.2,6.1,1028.1,757.6,14,1785.6999999999998
24.54,229.7,0.0,195.2,6.1,1028.1,757.6,28,1785.6999999999998
31.35,229.7,0.0,195.2,6.1,1028.1,757.6,56,1785.6999999999998
40.86,229.7,0.0,195.2,6.1,1028.1,757.6,100,1785.6999999999998
19.93,238.1,0.0,186.7,7.0,949.9,847.0,3,1796.9
25.69,238.1,0.0,186.7,7.0,949.9,847.0,14,1796.9
30.23,238.1,0.0,186.7,7.0,949.9,847.0,28,1796.9
39.59,238.1,0.0,186.7,7.0,949.9,847.0,56,1796.9
44.3,238.1,0.0,186.7,7.0,949.9,847.0,100,1796.9
13.82,250.0,0.0,187.4,5.5,956.9,861.2,3,1818.1
24.92,250.0,0.0,187.4,5.5,956.9,861.2,14,1818.1
29.22,250.0,0.0,187.4,5.5,956.9,861.2,28,1818.1
38.33,250.0,0.0,187.4,5.5,956.9,861.2,56,1818.1
42.35,250.0,0.0,187.4,5.5,956.9,861.2,100,1818.1
13.54,212.5,0.0,159.3,8.7,1007.8,903.6,3,1911.4
26.31,212.5,0.0,159.3,8.7,1007.8,903.6,14,1911.4
31.64,212.5,0.0,159.3,8.7,1007.8,903.6,28,1911.4
42.55,212.5,0.0,159.3,8.7,1007.8,903.6,56,1911.4
42.92,212.5,0.0,159.3,8.7,1007.8,903.6,100,1911.4
13.33,212.6,0.0,159.4,10.4,1003.8,903.8,3,1907.6
25.37,212.6,0.0,159.4,10.4,1003.8,903.8,14,1907.6
37.4,212.6,0.0,159.4,10.4,1003.8,903.8,28,1907.6
44.4,212.6,0.0,159.4,10.4,1003.8,903.8,56,1907.6
47.74,212.6,0.0,159.4,10.4,1003.8,903.8,100,1907.6
19.52,212.0,0.0,159.0,7.8,1085.4,799.5,3,1884.9
31.35,212.0,0.0,159.0,7.8,1085.4,799.5,14,1884.9
38.5,212.0,0.0,159.0,7.8,1085.4,799.5,28,1884.9
45.08,212.0,0.0,159.0,7.8,1085.4,799.5,56,1884.9
47.82,212.0,0.0,159.0,7.8,1085.4,799.5,100,1884.9
15.44,231.8,0.0,174.0,6.7,1056.4,778.5,3,1834.9
26.77,231.8,0.0,174.0,6.7,1056.4,778.5,14,1834.9
33.73,231.8,0.0,174.0,6.7,1056.4,778.5,28,1834.9
42.7,231.8,0.0,174.0,6.7,1056.4,778.5,56,1834.9
45.84,231.8,0.0,174.0,6.7,1056.4,778.5,100,1834.9
17.22,251.4,0.0,188.5,5.8,1028.4,757.7,3,1786.1000000000001
29.93,251.4,0.0,188.5,5.8,1028.4,757.7,14,1786.1000000000001
29.65,251.4,0.0,188.5,5.8,1028.4,757.7,28,1786.1000000000001
36.97,251.4,0.0,188.5,5.8,1028.4,757.7,56,1786.1000000000001
43.58,251.4,0.0,188.5,5.8,1028.4,757.7,100,1786.1000000000001
13.12,251.4,0.0,188.5,6.4,1028.4,757.7,3,1786.1000000000001
24.43,251.4,0.0,188.5,6.4,1028.4,757.7,14,1786.1000000000001
32.66,251.4,0.0,188.5,6.4,1028.4,757.7,28,1786.1000000000001
36.64,251.4,0.0,188.5,6.4,1028.4,757.7,56,1786.1000000000001
44.21,251.4,0.0,188.5,6.4,1028.4,757.7,100,1786.1000000000001
13.62,181.4,0.0,169.6,7.6,1055.6,777.8,3,1833.3999999999999
21.6,181.4,0.0,169.6,7.6,1055.6,777.8,14,1833.3999999999999
27.77,181.4,0.0,169.6,7.6,1055.6,777.8,28,1833.3999999999999
35.57,181.4,0.0,169.6,7.6,1055.6,777.8,56,1833.3999999999999
45.37,181.4,0.0,169.6,7.6,1055.6,777.8,100,1833.3999999999999
7.32,182.0,45.2,170.2,8.2,1059.4,780.7,3,1840.1000000000001
21.5,182.0,45.2,170.2,8.2,1059.4,780.7,14,1840.1000000000001
31.27,182.0,45.2,170.2,8.2,1059.4,780.7,28,1840.1000000000001
43.5,182.0,45.2,170.2,8.2,1059.4,780.7,56,1840.1000000000001
48.67,182.0,45.2,170.2,8.2,1059.4,780.7,100,1840.1000000000001
7.4,168.9,42.2,158.3,10.8,1080.8,796.2,3,1877.0
23.51,168.9,42.2,158.3,10.8,1080.8,796.2,14,1877.0
31.12,168.9,42.2,158.3,10.8,1080.8,796.2,28,1877.0
39.15,168.9,42.2,158.3,10.8,1080.8,796.2,56,1877.0
48.15,168.9,42.2,158.3,10.8,1080.8,796.2,100,1877.0
22.5,290.4,0.0,168.1,9.4,961.2,865.0,3,1826.2
34.67,290.4,0.0,168.1,9.4,961.2,865.0,14,1826.2
34.74,290.4,0.0,168.1,9.4,961.2,865.0,28,1826.2
45.08,290.4,0.0,168.1,9.4,961.2,865.0,56,1826.2
48.97,290.4,0.0,168.1,9.4,961.2,865.0,100,1826.2
23.14,277.1,0.0,160.6,11.8,973.9,875.6,3,1849.5
41.89,277.1,0.0,160.6,11.8,973.9,875.6,14,1849.5
48.28,277.1,0.0,160.6,11.8,973.9,875.6,28,1849.5
51.04,277.1,0.0,160.6,11.8,973.9,875.6,56,1849.5
55.64,277.1,0.0,160.6,11.8,973.9,875.6,100,1849.5
22.95,295.7,0.0,171.5,8.9,955.1,859.2,3,1814.3000000000002
35.23,295.7,0.0,171.5,8.9,955.1,859.2,14,1814.3000000000002
39.94,295.7,0.0,171.5,8.9,955.1,859.2,28,1814.3000000000002
48.72,295.7,0.0,171.5,8.9,955.1,859.2,56,1814.3000000000002
52.04,295.7,0.0,171.5,8.9,955.1,859.2,100,1814.3000000000002
21.02,251.8,0.0,146.1,12.4,1006.0,899.8,3,1905.8
33.36,251.8,0.0,146.1,12.4,1006.0,899.8,14,1905.8
33.94,251.8,0.0,146.1,12.4,1006.0,899.8,28,1905.8
44.14,251.8,0.0,146.1,12.4,1006.0,899.8,56,1905.8
45.37,251.8,0.0,146.1,12.4,1006.0,899.8,100,1905.8
15.36,249.1,0.0,158.1,12.8,987.8,889.0,3,1876.8
28.68,249.1,0.0,158.1,12.8,987.8,889.0,14,1876.8
30.85,249.1,0.0,158.1,12.8,987.8,889.0,28,1876.8
42.03,249.1,0.0,158.1,12.8,987.8,889.0,56,1876.8
51.06,249.1,0.0,158.1,12.8,987.8,889.0,100,1876.8
21.78,252.3,0.0,146.3,14.2,987.8,889.0,3,1876.8
42.29,252.3,0.0,146.3,14.2,987.8,889.0,14,1876.8
50.6,252.3,0.0,146.3,14.2,987.8,889.0,28,1876.8
55.83,252.3,0.0,146.3,14.2,987.8,889.0,56,1876.8
60.95,252.3,0.0,146.3,14.2,987.8,889.0,100,1876.8
23.52,246.8,0.0,143.3,12.0,1086.8,800.9,3,1887.6999999999998
42.22,246.8,0.0,143.3,12.0,1086.8,800.9,14,1887.6999999999998
52.5,246.8,0.0,143.3,12.0,1086.8,800.9,28,1887.6999999999998
60.32,246.8,0.0,143.3,12.0,1086.8,800.9,56,1887.6999999999998
66.42,246.8,0.0,143.3,12.0,1086.8,800.9,100,1887.6999999999998
23.8,275.1,0.0,159.5,9.9,1053.6,777.5,3,1831.1
38.77,275.1,0.0,159.5,9.9,1053.6,777.5,14,1831.1
51.33,275.1,0.0,159.5,9.9,1053.6,777.5,28,1831.1
56.85,275.1,0.0,159.5,9.9,1053.6,777.5,56,1831.1
58.61,275.1,0.0,159.5,9.9,1053.6,777.5,100,1831.1
21.91,297.2,0.0,174.8,9.5,1022.8,753.5,3,1776.3
36.99,297.2,0.0,174.8,9.5,1022.8,753.5,14,1776.3
47.4,297.2,0.0,174.8,9.5,1022.8,753.5,28,1776.3
51.96,297.2,0.0,174.8,9.5,1022.8,753.5,56,1776.3
56.74,297.2,0.0,174.8,9.5,1022.8,753.5,100,1776.3
17.57,213.7,0.0,154.8,10.2,1053.5,776.4,3,1829.9
33.73,213.7,0.0,154.8,10.2,1053.5,776.4,14,1829.9
40.15,213.7,0.0,154.8,10.2,1053.5,776.4,28,1829.9
46.64,213.7,0.0,154.8,10.2,1053.5,776.4,56,1829.9
50.08,213.7,0.0,154.8,10.2,1053.5,776.4,100,1829.9
17.37,213.5,0.0,154.6,11.7,1052.3,775.5,3,1827.8
33.7,213.5,0.0,154.6,11.7,1052.3,775.5,14,1827.8
45.94,213.5,0.0,154.6,11.7,1052.3,775.5,28,1827.8
51.43,213.5,0.0,154.6,11.7,1052.3,775.5,56,1827.8
59.3,213.5,0.0,154.6,11.7,1052.3,775.5,100,1827.8
30.45,277.2,97.8,160.7,11.2,1061.7,782.5,3,1844.2
47.71,277.2,97.8,160.7,11.2,1061.7,782.5,14,1844.2
63.14,277.2,97.8,160.7,11.2,1061.7,782.5,28,1844.2
66.82,277.2,97.8,160.7,11.2,1061.7,782.5,56,1844.2
66.95,277.2,97.8,160.7,11.2,1061.7,782.5,100,1844.2
27.42,218.2,54.6,140.8,11.9,1075.7,792.7,3,1868.4
35.96,218.2,54.6,140.8,11.9,1075.7,792.7,14,1868.4
55.51,218.2,54.6,140.8,11.9,1075.7,792.7,28,1868.4
61.99,218.2,54.6,140.8,11.9,1075.7,792.7,56,1868.4
63.53,218.2,54.6,140.8,11.9,1075.7,792.7,100,1868.4
18.02,214.9,53.8,155.6,9.6,1014.3,780.6,3,1794.9
38.6,214.9,53.8,155.6,9.6,1014.3,780.6,14,1794.9
52.2,214.9,53.8,155.6,9.6,1014.3,780.6,28,1794.9
53.96,214.9,53.8,155.6,9.6,1014.3,780.6,56,1794.9
56.63,214.9,53.8,155.6,9.6,1014.3,780.6,100,1794.9
15.34,218.9,0.0,158.5,11.3,1078.7,794.9,3,1873.6
26.05,218.9,0.0,158.5,11.3,1078.7,794.9,14,1873.6
30.22,218.9,0.0,158.5,11.3,1078.7,794.9,28,1873.6
37.27,218.9,0.0,158.5,11.3,1078.7,794.9,56,1873.6
46.23,218.9,0.0,158.5,11.3,1078.7,794.9,100,1873.6
16.28,376.0,0.0,214.6,0.0,1003.5,762.4,3,1765.9
25.62,376.0,0.0,214.6,0.0,1003.5,762.4,14,1765.9
31.97,376.0,0.0,214.6,0.0,1003.5,762.4,28,1765.9
36.3,376.0,0.0,214.6,0.0,1003.5,762.4,56,1765.9
43.06,376.0,0.0,214.6,0.0,1003.5,762.4,100,1765.9
67.57,500.0,0.0,140.0,4.0,966.0,853.0,28,1819.0
57.23,475.0,0.0,142.0,1.9,1098.0,641.0,28,1739.0
81.75,315.0,137.0,145.0,5.9,1130.0,745.0,28,1875.0
